httpResponses,counter,HTTP Responses,Number of HTTP Responses,averageHttpThroughputPerUserUl
usersSuccessfulHttpResponses,counter,Users Successful HTTP Responses,Number of users Successful HTTP Responses,averageHttpThroughputPerUserUl
httpRequests,counter,HTTP Requests,Number of HTTP Requests,averageHttpThroughputPerUserUl
usersHttpResponses,counter,Users HTTP Responses,Number of users HTTP Responses,averageHttpThroughputPerUserUl
packetJitterDl,counter,Packet Jitter Dl,Number of packet Jitter Dl,averageJitterDl
usersTcpPacketsTransmittedDl,counter,Users Tcp Packets Transmitted Dl,Number of users Tcp Packets Transmitted Dl,averageJitterDl
usersAverageJitterDlThresholdViolation,counter,Users Average Jitter Dl Threshold Violation,Number of users Average Jitter Dl Threshold Violation,averageJitterDl
usersPacketJitterDl,counter,Users Packet Jitter Dl,Number of users Packet Jitter Dl,averageJitterDl
averageJitterDlThresholdViolation,counter,Average Jitter Dl Threshold Violation,Number of average Jitter Dl Threshold Violation,averageJitterDl
packetJitterUl,counter,Packet Jitter Ul,Number of packet Jitter Ul,averageJitterUl
usersTcpPacketsTransmittedUl,counter,Users Tcp Packets Transmitted Ul,Number of users Tcp Packets Transmitted Ul,averageJitterUl
averageJitterUlThresholdViolation,counter,Average Jitter Ul Threshold Violation,Number of average Jitter Ul Threshold Violation,averageJitterUl
usersPacketJitterUl,counter,Users Packet Jitter Ul,Number of users Packet Jitter Ul,averageJitterUl
usersAverageJitterUlThresholdViolation,counter,Users Average Jitter Ul Threshold Violation,Number of users Average Jitter Ul Threshold Violation,averageJitterUl
sessionsPerVideoMosClass,counter,Sessions Per Video Mos Class,Number of sessions Per Video Mos Class,averageVideoMosDl
usersDataSessions,counter,Users Data Sessions,Number of users Data Sessions,averageVideoMosDl
usersPerVideoMosClass,counter,Users Per Video Mos Class,Number of users Per Video Mos Class,averageVideoMosDl
dataSessions,counter,Data Sessions,Number of data Sessions,averageVideoMosDl
csImsiAttachFailures,counter,Cs Imsi Attach Failures,Number of cs Imsi Attach Failures,csImsiAttachFailRate
usersCsImsiAttachAttempts,counter,Users Cs Imsi Attach Attempts,Number of users Cs Imsi Attach Attempts,csImsiAttachFailRate
